hour,rows,rent_MAE,return_MAE,net_flow_MAE
0.0,83375,0.5979868583929822,0.47512265491636474,0.7549793880523797
1.0,83375,0.45182143223621357,0.4791998000407779,0.6382775506291417
2.0,83375,0.3197054376131573,0.3643340950290804,0.4917818441341705
3.0,83375,0.2357217793913997,0.26492964780871336,0.3719503278087337
4.0,83375,0.19948863426165478,0.20709676158413495,0.3161168451017203
5.0,83375,0.35592287209174106,0.29642012340754353,0.5084610595907905
6.0,83375,0.6311018653489502,0.5170240439350932,0.8533056968999893
7.0,83375,1.1465816070996062,0.9452859794312111,1.4838229669428595
8.0,83375,1.4705442348434596,1.2798966644351037,1.8743441469989988
9.0,83375,1.1270927201561667,1.0339919713910697,1.4027837620877284
10.0,83375,0.9971322295545121,0.92219795634588,1.2178244613397746
11.0,83375,1.1249851806548874,0.9919798946493693,1.3020859047634012
12.0,83375,1.1609633554305827,1.122029198676255,1.3685734464538755
13.0,83375,1.1764476282551646,1.138464386220754,1.3877535242576085
14.0,83375,1.1929190612428446,1.1391063593133675,1.3996563919460656
15.0,83375,1.3268379783329443,1.2400416921721662,1.5495693064785827
16.0,83375,1.5086534901123043,1.4019891004696863,1.7670210888864375
17.0,83375,1.785914232522377,1.6205082156661768,2.0968048154360566
18.0,83375,1.9724833581001953,1.887933604292147,2.330883317130292
19.0,83375,1.4237934199862456,1.5094366065996108,1.8056837858217747
20.0,83375,1.248361476364653,1.2891831631926984,1.5559085768624465
21.0,83375,1.1459015393320062,1.1843440236868235,1.4614789012440463
22.0,83375,0.9970904815692329,1.0802315161025018,1.3279291967310913
23.0,83375,0.5793341253335366,0.7943081629721871,0.9458178732583739
