station_id,district,rows,rent_MAE,return_MAE,net_flow_MAE
ST-3388,마포구,720,7.5520531637983,6.849295598238556,5.240806181308396
ST-2045,강서구,720,4.232421092586594,4.1844918799688315,5.19201021861925
ST-2031,강서구,720,4.849853380395113,4.412898920428342,5.14618781410598
ST-891,송파구,720,4.455417771902278,4.282964686490874,5.0697681588515335
ST-3402,종로구,720,6.020158535798663,5.125223725961574,5.013444011486297
ST-3251,강서구,720,2.634549311259512,2.5271162849412923,4.255367319165028
ST-99,광진구,720,3.7709798208413865,4.2340951956172965,4.161357296220078
ST-1065,강동구,720,3.2980913693644367,3.1498466948938586,4.117060302718382
ST-1718,강서구,720,4.4582093632946505,3.494140199800409,4.11536435435537
ST-919,은평구,720,3.0741134952425857,2.7887290217546674,3.8995692060651077
ST-1681,노원구,720,3.365797294076958,3.524740615203984,3.8691092310416884
ST-3390,광진구,720,5.216092630531689,4.989993314863542,3.864822766212098
ST-2033,동작구,720,2.79388371050524,2.3835890952641265,3.850354013797218
ST-295,영등포구,720,3.1936493815436076,3.1890332791381533,3.7206710342955627
ST-426,마포구,720,3.377106146960615,3.7693218877741774,3.670368919676349
ST-3142,영등포구,720,2.6583518478359442,2.7371940485769857,3.597207920152409
ST-3311,관악구,720,2.728915702043471,2.949341013555741,3.5705102468082504
ST-3239,영등포구,720,3.102610542995228,2.550743708997071,3.535673066245863
ST-2011,양천구,720,2.5429929450324282,2.4714117566086427,3.479952114826719
ST-55,영등포구,720,2.533581326668583,2.539898990169015,3.4641086423089065
ST-702,양천구,720,2.7720785857870047,2.797874421038693,3.4084910412392597
ST-1731,도봉구,720,2.565051881280136,2.6290656002777175,3.335964367799363
ST-3391,송파구,720,3.900101968207285,3.795685840959743,3.287508854480347
ST-2815,구로구,720,2.489131241343282,2.5471454868782866,3.2392467587465936
ST-1720,도봉구,720,3.0604126613804845,3.1635339269481615,3.229910225734634
ST-2557,강서구,720,2.5523464147507577,2.354140255631839,3.22408066628051
ST-2050,동작구,720,2.4745367670240324,2.0884933569447797,3.219200490488796
ST-2017,양천구,720,2.7429678648316944,2.5064053424612576,3.2115181888792033
ST-18,마포구,720,2.4059582279593976,2.5990209127366297,3.1756876124312448
ST-1839,금천구,720,2.4120050478413053,2.431241557308638,3.1693962248464125
ST-3300,송파구,720,2.4176231191754414,2.398575801442045,3.164407261425044
ST-668,구로구,720,2.6570926709666547,2.6591316504381775,3.1527534763497607
ST-1730,도봉구,720,2.7339392259366724,2.579461662668402,3.1277475331056572
ST-1995,양천구,720,2.4145861132566777,2.521643700033739,3.1268458481078962
ST-493,마포구,720,2.5196784361608087,2.427019330284216,3.12002566290578
ST-1661,노원구,720,2.481917573372572,2.374755434263215,3.1199569433579435
ST-2571,송파구,720,2.5436764967879038,2.0120987035859725,3.1087978655027206
ST-413,마포구,720,2.7638481393569987,2.414426224281455,3.103947649487322
ST-2876,송파구,720,2.976995067805571,2.6534917873028565,3.1028314758363615
ST-1660,노원구,720,2.723065858191536,2.9932659150883953,3.0995309931655584
ST-547,송파구,720,2.6301070271390423,2.523453597535516,3.060569261915803
ST-3094,강서구,720,2.277913450015886,2.49324262979142,3.025507358341634
ST-1351,성북구,720,2.539258120343212,2.3120256396535828,3.023432673740376
ST-2905,마포구,720,2.8668281603803494,2.985318253915451,3.0226872975773853
ST-47,영등포구,720,2.3239495720531638,2.467208130287816,3.013592141504693
ST-1251,송파구,720,2.5086339211671356,2.3460452881353384,3.005825064126197
ST-73,영등포구,720,2.729667954432105,2.375593893663241,2.9873678246178788
ST-522,성동구,720,2.4523441931636403,2.4432365733515287,2.9869696470413536
ST-2007,동작구,720,2.3269305638235904,2.0826032851204754,2.9759572522106295
ST-1584,송파구,720,2.351086753409532,2.6328722534698867,2.942854755328255
ST-1195,강서구,720,2.5361579851485536,2.554724173986589,2.927509358040314
ST-446,종로구,720,2.3068752303821776,2.360082994560872,2.9250430040733875
ST-997,양천구,720,2.3397010475846836,2.2063503110828186,2.8996664558170777
ST-1996,구로구,720,2.369860825243106,2.1925436155086357,2.8991310342003116
ST-66,영등포구,720,2.2333031605422367,2.0185645363430385,2.8850489005978086
ST-3316,동대문구,720,2.0962919925607193,2.4940545392629687,2.8788765001988605
ST-664,동대문구,720,2.483024001753647,2.5217954617483183,2.8706317356328057
ST-2871,강서구,720,2.2522520069412852,2.2646580510288343,2.8668699968064413
ST-1938,금천구,720,2.2419956251311155,2.2958069572260595,2.8652900573170035
ST-3403,성동구,720,3.7737749464626815,3.703341957564042,2.8465361259490476
ST-2308,강남구,720,2.2978191799663166,2.3251480529579505,2.8454972833081196
ST-2264,서초구,720,1.9224315345473655,2.4495466072067287,2.835497500170044
ST-2037,동작구,720,2.4501434278259397,2.3002012622640415,2.824353728322462
ST-3163,양천구,720,2.4428943083124657,2.3856642061820263,2.8230079482435197
ST-2398,강남구,720,2.2202507066343244,2.0171226670748026,2.8092302330381718
ST-3214,영등포구,720,2.2361363504254994,2.556240003303485,2.797520793738781
ST-2013,동작구,720,2.156902115003821,1.9770388914396935,2.794187344923426
ST-1352,성북구,720,2.2458947107299445,1.8120752198867491,2.783538980088448
ST-1687,강동구,720,2.21055375528705,2.251137942811803,2.758880182670981
ST-1420,중랑구,720,2.2701089152977802,2.3107389925029493,2.752259289744618
ST-278,영등포구,720,2.2173112171225737,2.4363996822989016,2.737169942566783
ST-502,광진구,720,2.1044684725245713,1.9203407308010447,2.7300892346503316
ST-1249,강서구,720,2.0376117374678007,2.21392656240869,2.7275242940387647
ST-3315,영등포구,720,2.105807429002436,1.6940210820826895,2.7196108697647694
ST-105,마포구,720,2.4130259315186127,2.143051352829418,2.7167469036399217
ST-2961,양천구,720,1.4769341241373923,1.938717699973613,2.7042072369267465
ST-1063,강동구,720,2.154629261431445,2.141237410506485,2.7035459872378502
ST-2056,동작구,720,2.2079392432175147,1.9937108960254948,2.688428512835052
ST-243,영등포구,720,2.4859312464288923,2.2059315122428838,2.6805703275323336
ST-3401,종로구,720,2.2536692548135875,2.2969803650836416,2.6731244503807923
ST-3323,영등포구,720,2.1962962491607363,1.8812611583162846,2.6725173209327084
ST-2420,강남구,720,2.07305628813106,2.1795997797568356,2.6581513052460886
ST-840,용산구,720,2.0510253598442167,2.255210706401994,2.6569480632037665
ST-455,종로구,720,1.9600010720116012,2.342497066908102,2.653797882429436
ST-1083,강동구,720,1.9900588935071242,2.018523932170921,2.6534524407130435
ST-307,종로구,720,1.8053740025858493,1.9350621092061238,2.6522090377324554
ST-1910,구로구,720,2.0479493702048024,2.3612746425833246,2.651765882406454
ST-750,양천구,720,2.2146195191513036,2.281728696752695,2.6496081859887406
ST-2822,구로구,720,2.0945357212203044,2.1561149480639523,2.6402124239341735
ST-2177,용산구,720,2.1322657500142896,2.3078101748880773,2.6354334874998906
ST-1263,송파구,720,2.2345407559083896,2.24259387965696,2.63449561088803
ST-2574,송파구,720,1.801672794022745,1.5860722125068858,2.6318192245698286
ST-2749,강동구,720,2.067448146517439,2.10645919893108,2.631238002770686
ST-1645,강서구,720,1.97909160362632,1.8047032804658505,2.6286161440287725
ST-3389,강남구,720,3.5133411596081507,3.37377916627112,2.626079687870029
ST-749,양천구,720,2.180730955886398,2.4773792812082394,2.6256146234746196
ST-1064,강동구,720,2.279682205276351,2.109021074297282,2.621033037157349
ST-2761,양천구,720,2.0184002394034035,2.027676613111109,2.6054061047335737
ST-315,양천구,720,2.0103364524048213,2.2407315839154944,2.5984510029227894
ST-1990,영등포구,720,1.9738733918899038,2.1747297447979843,2.5974611240802403
ST-2740,강서구,720,1.960815014086652,2.037192872364825,2.5963249762562928
ST-1069,강서구,720,1.9340343937780855,1.974989435288995,2.5834032507559352
ST-1855,금천구,720,2.0269114008773204,2.1042823327712097,2.5827866880148562
